Cutting speed(mm/min),Feed rate,Drill diameter,Hardness ratio,Tensile strenth,Class
7.5398,0.001,0.3,1.3,0.317,0
7.5398,0.005,0.3,1.3,0.317,0
7.5398,0.01,0.3,1.3,0.317,0
7.5398,0.015,0.3,1.3,0.317,1
7.5398,0.02,0.3,1.3,0.317,1
7.5398,0.001,0.3,1,0.25,0
7.5398,0.005,0.3,1,0.25,0
7.5398,0.01,0.3,1,0.25,1
7.5398,0.015,0.3,1,0.25,1
7.5398,0.02,0.3,1,0.25,1
9.4248,0.001,0.3,1.3,0.317,0
9.4248,0.005,0.3,1.3,0.317,0
9.4248,0.01,0.3,1.3,0.317,0
9.4248,0.015,0.3,1.3,0.317,1
9.4248,0.02,0.3,1.3,0.317,1
9.4248,0.001,0.3,1,0.25,0
9.4248,0.005,0.3,1,0.25,0
9.4248,0.01,0.3,1,0.25,1
9.4248,0.015,0.3,1,0.25,1
9.4248,0.02,0.3,1,0.25,1
12.5644,0.001,0.5,1.3,0.317,0
12.5644,0.005,0.5,1.3,0.317,0
12.5644,0.01,0.5,1.3,0.317,0
12.5644,0.015,0.5,1.3,0.317,1
12.5644,0.02,0.5,1.3,0.317,1
12.5644,0.001,0.5,1,0.25,0
12.5644,0.005,0.5,1,0.25,0
12.5644,0.01,0.5,1,0.25,1
12.5644,0.015,0.5,1,0.25,1
12.5644,0.02,0.5,1,0.25,1
15.708,0.001,0.5,1.3,0.317,0
15.708,0.005,0.5,1.3,0.317,0
15.708,0.01,0.5,1.3,0.317,0
15.708,0.015,0.5,1.3,0.317,1
15.708,0.02,0.5,1.3,0.317,1
15.708,0.001,0.5,1,0.25,0
15.708,0.005,0.5,1,0.25,0
15.708,0.01,0.5,1,0.25,1
15.708,0.015,0.5,1,0.25,1
15.708,0.02,0.5,1,0.25,1
5.6549,0.001,0.3,1.3,0.317,0
5.6549,0.005,0.3,1.3,0.317,0
5.6549,0.01,0.3,1.3,0.317,0
5.6549,0.015,0.3,1.3,0.317,1
5.6549,0.02,0.3,1.3,0.317,1
5.6549,0.001,0.3,1,0.25,0
5.6549,0.005,0.3,1,0.25,0
5.6549,0.01,0.3,1,0.25,1
5.6549,0.015,0.3,1,0.25,1
5.6549,0.02,0.3,1,0.25,1
9.4248,0.001,0.5,1.3,0.317,0
9.4248,0.005,0.5,1.3,0.317,0
9.4248,0.01,0.5,1.3,0.317,0
9.4248,0.015,0.5,1.3,0.317,1
9.4248,0.02,0.5,1.3,0.317,1
9.4248,0.001,0.5,1,0.25,0
9.4248,0.005,0.5,1,0.25,0
9.4248,0.01,0.5,1,0.25,1
9.4248,0.015,0.5,1,0.25,1
